evtId,ipad,itime,amp
0,42,268,35.8
0,42,269,116.0
0,42,270,145.5
0,42,271,75.8
0,43,268,134.0
0,43,269,408.0
0,43,270,739.8
0,43,271,672.8
0,43,272,352.4
0,43,273,95.2
0,44,268,51.2
0,44,269,106.3
0,44,270,228.3
0,44,271,262.3
0,44,272,123.6
1,42,269,137.9
1,42,270,247.2
1,42,271,293.5
1,42,272,146.4
1,43,268,151.6
1,43,269,788.7
1,43,270,1702.6
1,43,271,1625.7
1,43,272,798.7
1,44,268,92.4
1,44,269,361.3
1,44,270,644.7
1,44,271,590.3
1,44,272,305.9
2,42,269,64.2
2,42,270,126.8
2,42,271,153.6
2,42,272,62.0
2,43,268,108.8
2,43,269,380.8
2,43,270,624.9
2,43,271,572.4
2,43,272,237.6
2,43,273,39.2
2,44,268,70.4
2,44,269,257.3
2,44,270,385.6
2,44,271,252.0
2,44,272,84.5
3,42,269,74.2
3,42,270,138.8
3,42,271,107.2
3,42,272,36.2
3,43,269,373.9
3,43,270,659.9
3,43,271,627.5
3,43,272,285.7
3,43,273,56.7
3,44,269,176.4
3,44,270,413.9
3,44,271,355.0
3,44,272,159.6
4,42,270,115.6
4,42,271,283.2
4,42,272,244.3
4,42,273,156.6
4,43,270,211.9
4,43,271,533.2
4,43,272,635.1
4,43,273,452.7
4,43,274,144.6
4,44,270,75.2
4,44,271,175.7
4,44,272,150.4
4,44,273,92.5
4,44,274,36.5
5,42,270,102.6
5,42,271,161.5
5,42,272,111.8
5,43,269,384.1
5,43,270,780.5
5,43,271,644.3
5,43,272,301.9
5,44,269,286.5
5,44,270,642.0
5,44,271,518.0
5,44,272,212.6
6,42,269,44.3
6,42,270,106.3
6,42,271,122.4
6,42,272,108.1
6,42,273,40.7
6,43,268,110.7
6,43,269,425.4
6,43,270,744.0
6,43,271,642.6
6,43,272,271.1
6,43,273,53.3
6,44,269,130.8
6,44,270,302.8
6,44,271,272.0
6,44,272,108.3
7,42,269,59.5
7,42,270,79.4
7,42,271,76.4
7,42,272,34.2
7,43,268,83.1
7,43,269,334.1
7,43,270,656.2
7,43,271,660.9
7,43,272,248.0
7,44,269,173.5
7,44,270,404.7
7,44,271,356.9
7,44,272,116.3
7,45,270,45.9
7,45,271,50.0
8,42,269,56.7
8,42,270,78.6
8,42,271,68.1
8,43,269,469.6
8,43,270,699.6
8,43,271,536.2
8,43,272,192.9
8,44,269,190.2
8,44,270,229.2
8,44,271,143.1
8,44,272,47.6
9,42,269,127.6
9,42,270,177.9
9,42,271,104.1
9,42,272,38.4
9,43,269,377.3
9,43,270,769.7
9,43,271,873.5
9,43,272,507.0
9,44,269,265.9
9,44,270,447.4
9,44,271,391.5
9,44,272,202.6
9,45,270,30.3
10,42,269,46.4
10,42,270,93.4
10,42,271,71.5
10,43,269,360.8
10,43,270,737.1
10,43,271,680.4
10,43,272,293.7
10,43,273,56.8
10,44,269,219.7
10,44,270,333.9
10,44,271,234.2
10,44,272,93.2
11,42,269,41.8
11,42,270,125.7
11,42,271,149.2
11,42,272,65.1
11,43,269,275.6
11,43,270,633.4
11,43,271,587.1
11,43,272,262.1
11,43,273,57.9
11,44,269,144.3
11,44,270,309.7
11,44,271,243.6
11,44,272,82.8
12,42,268,30.8
12,42,269,126.4
12,42,270,274.4
12,42,271,279.8
12,42,272,119.0
12,43,268,219.5
12,43,269,939.4
12,43,270,1994.6
12,43,271,2149.4
12,43,272,1062.9
12,43,273,242.7
12,44,268,93.3
12,44,269,442.0
12,44,270,1023.9
12,44,271,1187.6
12,44,272,600.1
12,44,273,127.1
13,42,269,57.6
13,42,270,122.8
13,42,271,84.5
13,43,268,98.6
13,43,269,501.8
13,43,270,1002.8
13,43,271,818.4
13,43,272,356.6
13,44,268,35.8
13,44,269,168.3
13,44,270,380.1
13,44,271,420.4
13,44,272,228.4
14,42,269,80.2
14,42,270,208.1
14,42,271,249.6
14,42,272,106.8
14,43,268,176.5
14,43,269,595.7
14,43,270,1038.7
14,43,271,917.3
14,43,272,377.2
14,43,273,66.7
14,44,268,35.5
14,44,269,185.6
14,44,270,399.0
14,44,271,370.3
14,44,272,180.0
14,44,273,43.0
15,42,269,31.4
15,42,270,49.5
15,42,271,30.6
15,43,268,109.3
15,43,269,282.3
15,43,270,293.8
15,43,271,264.3
15,43,272,158.0
15,44,269,80.8
15,44,270,127.4
15,44,271,206.7
15,44,272,185.5
16,42,268,36.7
16,42,269,128.7
16,42,270,213.5
16,42,271,154.4
16,42,272,56.3
16,43,268,226.2
16,43,269,666.7
16,43,270,1015.3
16,43,271,831.1
16,43,272,397.5
16,44,268,43.3
16,44,269,190.7
16,44,270,391.7
16,44,271,399.0
16,44,272,191.2
17,42,269,41.1
17,42,270,88.0
17,42,271,74.6
17,43,268,207.5
17,43,269,444.0
17,43,270,686.9
17,43,271,522.3
